Industry Sector,NAICS Sector_2017,Average Employment_2017,Estblishments_2017,Payroll_2017,Average Monthly Wage_2017,NAICS Sector_2018,Average Employment_2018,Estblishments_2018,Payroll_2018,Average Monthly Wage_2018,NAICS Sector_2019,Average Employment_2019,Estblishments_2019,Payroll_2019,Average Monthly Wage_2019,NAICS Sector_2020,Average Employment_2020,Estblishments_2020,Payroll_2020,Average Monthly Wage_2020,NAICS Sector_2021,Average Employment_2021,Estblishments_2021,Payroll_2021,Average Monthly Wage_2021
Construction,23.0,98686.0,10955.0,4847802272.0,4094.0,23,105535,11643,5386215008,4253,23,110745,12281,5912492150,4449,23,116661,13012,6697376794,4784,23,123605,13895,7457881054,5028
Construction of Buildings,236.0,20313.0,2964.0,1059548152.0,4347.0,236,21723,3180,1159552144,4448,236,22769,3398,1254720712,4592,236,23731,3596,1406665145,4940,236,25631,3901,1601790477,5208
Heavy and Civil Engineering Construction,237.0,10743.0,651.0,663136697.0,5144.0,237,11396,672,730699326,5343,237,12200,688,844923965,5772,237,13307,725,975187969,6107,237,13645,770,1001813673,6119
Specialty Trade Contractors,238.0,67631.0,7340.0,3125117423.0,3851.0,238,72416,7791,3495963538,4023,238,75776,8196,3812847473,4193,238,79623,8692,4315523680,4517,238,84329,9225,4854276904,4797
Manufacturing (31-33),31.0,129231.0,4251.0,7303308080.0,4709.0,31,132987,4390,7686603635,4817,31,136893,4551,8106954556,4935,31,136413,4622,8399961354,5131,31,145621,4893,9513723329,5444
Food Manufacturing,311.0,16940.0,394.0,729859809.0,3591.0,311,17460,419,758234168,3619,311,17962,431,807792252,3748,311,18555,441,916631339,4117,311,20163,475,1017186671,4204
Beverage and Tobacco Product Manufacturing,312.0,930.0,62.0,42341671.0,3793.0,312,990,68,45093912,3796,312,1086,77,47549260,3648,312,1162,79,52494551,3765,312,1357,88,61130979,3753
Textile Mills,313.0,464.0,18.0,12795481.0,2301.0,313,528,20,16788004,2648,313,634,26,18973810,2496,313,425,24,13511110,2652,313,309,25,9761029,2632
Textile Product Mills,314.0,807.0,76.0,28783214.0,2972.0,314,819,76,29859482,3038,314,870,74,31532928,3020,314,827,72,33178969,3345,314,831,75,35254699,3536
Apparel Manufacturing,315.0,1373.0,59.0,35177344.0,2135.0,315,1300,64,34291094,2198,315,1284,73,33338682,2163,315,1312,78,34865493,2214,315,1346,88,37577637,2327
Leather and Allied Product Manufacturing,316.0,208.0,28.0,6945839.0,2783.0,316,235,30,10091891,3579,316,279,29,13086440,3909,316,220,23,10486439,3972,316,268,26,13015180,4051
Wood Product Manufacturing,321.0,2623.0,170.0,93277947.0,2964.0,321,2656,185,100076980,3140,321,2718,183,107731142,3303,321,2676,193,116709657,3635,321,2908,205,140770456,4034
Paper Manufacturing,322.0,2457.0,39.0,139883854.0,4745.0,322,2600,40,169735565,5441,322,2672,39,174260176,5435,322,2733,35,188739164,5755,322,2830,36,207616977,6114
Printing and Related Support Activities,323.0,5093.0,291.0,213202334.0,3488.0,323,4970,287,211117059,3540,323,4938,292,217290474,3667,323,4637,283,213333720,3834,323,5010,295,234045423,3893
Petroleum and Coal Products Manufacturing,324.0,1592.0,26.0,173204125.0,9068.0,324,1612,28,184801113,9555,324,1666,36,201151643,10062,324,1707,35,210254021,10264,324,1711,36,209548830,10209
Chemical Manufacturing,325.0,9653.0,235.0,581442994.0,5020.0,325,9266,259,574088580,5163,325,9577,287,589427074,5129,325,9959,302,614929829,5146,325,10551,334,680611655,5376
Plastics and Rubber Products Manufacturing,326.0,5322.0,159.0,239562362.0,3751.0,326,6357,168,302407882,3964,326,6704,179,325107247,4041,326,6788,184,356662406,4378,326,7858,189,450922330,4782
Nonmetallic Mineral Product Manufacturing,327.0,5301.0,195.0,293604225.0,4615.0,327,5369,196,293783802,4560,327,5312,204,300936344,4721,327,4964,204,296315898,4974,327,5182,207,325767803,5239
Primary Metal Manufacturing,331.0,3943.0,70.0,270520483.0,5718.0,331,3892,71,262688704,5625,331,3960,68,278829598,5867,331,3759,68,281862471,6249,331,3749,75,292182140,6495
Fabricated Metal Product Manufacturing,332.0,13701.0,704.0,697517627.0,4243.0,332,14291,721,748697191,4366,332,14679,730,793008673,4502,332,14845,749,834186371,4683,332,15265,777,920500173,5025
Machinery Manufacturing,333.0,5763.0,269.0,346096420.0,5005.0,333,6077,275,374768635,5140,333,6460,281,398774345,5145,333,6082,298,379437381,5199,333,6359,321,410985378,5386
Computer and Electronic Product Manufacturing,334.0,12946.0,285.0,1087590609.0,7001.0,334,13003,292,1137158611,7288,334,13371,325,1214208840,7567,334,13507,329,1208807759,7458,334,13665,355,1256370530,7662
"Electrical Equipment, Appliance, and Component Manufacturing",335.0,1919.0,59.0,132712180.0,5764.0,335,2007,60,144177041,5987,335,2112,68,152854332,6030,335,1861,76,137803577,6172,335,1822,81,135256182,6187
Transportation Equipment Manufacturing,336.0,13611.0,172.0,882878441.0,5405.0,336,14186,181,960387636,5642,336,14747,190,1013657204,5728,336,14198,192,1016068126,5964,336,15794,208,1266686535,6683
Furniture and Related Product Manufacturing,337.0,5736.0,368.0,235585874.0,3422.0,337,5969,363,249126819,3478,337,5916,368,256907875,3619,337,6506,375,303962901,3894,337,7724,390,387035648,4176
Miscellaneous Manufacturing,339.0,18852.0,575.0,1060325247.0,4687.0,339,19403,592,1079229466,4635,339,19947,593,1130536217,4723,339,19693,585,1179720172,4992,339,20921,609,1421497074,5662
Wholesale Trade,42.0,50828.0,6069.0,3363077459.0,5514.0,42,50973,6185,3512155150,5742,42,52247,6243,3711377661,5920,42,53117,6411,3971315400,6231,42,55457,6623,4431730858,6659
"Merchant Wholesalers, Durable Goods",423.0,26402.0,3080.0,1749664915.0,5523.0,423,28719,3593,2059536548,5976,423,29598,3612,2158598155,6078,423,30598,3702,2336995267,6365,423,32327,3837,2641476074,6809
"Merchant Wholesalers, Nondurable Goods",424.0,16514.0,1297.0,953781743.0,4813.0,424,18080,1529,1141863403,5263,424,18102,1539,1173915268,5404,424,18065,1597,1230290579,5675,424,18579,1645,1351341435,6061
Wholesale Trade Agents and Brokers,425.0,7913.0,1692.0,659630801.0,6947.0,425,4174,1063,310755199,6204,425,4548,1092,378864238,6943,425,4454,1112,404029554,7560,425,4552,1141,438913349,8036
Retail Trade (44 & 45),44.0,168713.0,10145.0,5380134677.0,2657.0,44,173192,10448,5788565878,2785,44,174090,10816,6035004315,2889,44,171296,11028,6586468576,3204,44,182715,11246,7424867499,3386
Motor Vehicle and Parts Dealers,441.0,22198.0,1218.0,1039645242.0,3903.0,441,23281,1272,1099295397,3935,441,24186,1317,1174350852,4046,441,23610,1312,1285440317,4537,441,24572,1344,1578003070,5352
Furniture and Home Furnishings Stores,442.0,6407.0,455.0,226242730.0,2943.0,442,6704,470,248765431,3092,442,6739,493,260738361,3224,442,6200,510,258586533,3476,442,6655,499,301836409,3780
Electronics and Appliance Stores,443.0,4754.0,438.0,232666295.0,4079.0,443,4811,432,246381857,4268,443,4822,442,250649184,4332,443,4410,442,210146697,3971,443,4371,447,244593900,4663
Building Material and Garden Equipment and Supplies Dealers,444.0,13436.0,621.0,451280916.0,2799.0,444,13749,624,470250731,2850,444,13716,641,478167607,2905,444,15039,646,565848154,3135,444,15997,686,645336720,3362
Food and Beverage Retailers,445.0,26175.0,753.0,590376909.0,1880.0,445,25851,764,610169548,1967,445,25888,775,636367070,2048,445,26267,780,701794107,2226,445,27020,798,733512762,2262
Health and Personal Care Stores,446.0,7774.0,824.0,270477321.0,2899.0,446,8047,836,305510859,3164,446,8056,838,291020352,3010,446,7764,836,309309585,3320,446,8471,840,346586528,3410
Gasoline Stations,447.0,10142.0,802.0,222636551.0,1829.0,447,9995,825,236095125,1969,447,10095,828,257680221,2127,447,10002,817,274757321,2289,447,10306,817,302365246,2445
Clothing and Clothing Accessories Stores,448.0,12285.0,1189.0,243150481.0,1649.0,448,12292,1173,255584355,1733,448,11947,1122,259911078,1813,448,9740,1105,237017902,2028,448,10314,1045,277953709,2246
Sporting Goods/Hobby/Book/Music Stores,451.0,8630.0,665.0,176248744.0,1702.0,451,9146,678,198186634,1806,451,9218,680,208074039,1881,451,8863,678,225721876,2122,451,9926,701,264800202,2223
General Merchandise Stores,452.0,30019.0,403.0,758552145.0,2106.0,452,30583,404,804323767,2192,452,30590,403,810920779,2209,452,31764,387,883766533,2319,452,34546,411,949492706,2290
Miscellaneous Store Retailers,453.0,8499.0,977.0,225196789.0,2208.0,453,8633,943,238431306,2302,453,8707,950,273701373,2619,453,8283,936,310832735,3127,453,9405,976,405875012,3596
Nonstore Retailers,454.0,18396.0,1801.0,943660554.0,4275.0,454,20102,2029,1075570868,4459,454,20128,2327,1133423399,4693,454,19355,2581,1323246816,5697,454,21135,2684,1374511235,5420
Transportation and Warehousing (48 & 49),48.0,67633.0,2917.0,3299212641.0,4065.0,48,71045,3013,3604995145,4229,48,73627,3115,3824569105,4329,48,75335,3218,4051314232,4481,48,77849,3403,4273141207,4574
Air Transportation,481.0,6706.0,67.0,560605424.0,6967.0,481,6869,69,619467169,7515,481,7420,76,722993425,8120,481,6602,77,688745783,8694,481,7284,89,627286343,7177
Rail Transportation,482.0,1459.0,26.0,100793030.0,5758.0,482,1503,26,106653217,5915,482,1369,26,97591640,5942,482,1082,25,82014668,6318,482,1023,24,78789524,6420
Truck Transportation,484.0,22952.0,1544.0,1050873081.0,3815.0,484,23281,1588,1118249880,4003,484,22550,1668,1120109319,4139,484,21364,1731,1131620621,4414,484,20219,1836,1164944882,4801
Transit and Ground Passenger Transportation,485.0,6916.0,151.0,236268116.0,2847.0,485,7208,159,261280903,3021,485,7267,158,279398971,3204,485,7069,168,290016274,3419,485,6915,174,293485721,3537
Pipeline Transportation,486.0,237.0,21.0,24096758.0,8482.0,486,255,24,25294341,8266,486,274,24,27928893,8494,486,272,23,30122629,9237,486,262,33,29267042,9318
Scenic and Sightseeing Transportation,487.0,134.0,22.0,2494756.0,1557.0,487,228,24,5123550,1873,487,218,24,5435207,2082,487,188,22,4861732,2152,487,247,20,6949140,2349
Support Activities for Transportation,488.0,5929.0,480.0,308480337.0,4336.0,488,6074,500,338899506,4649,488,6282,503,355858314,4720,488,6157,517,359450500,4865,488,6639,542,414875703,5208
Postal Service,491.0,5736.0,215.0,299263738.0,4348.0,491,5690,214,314703218,4609,491,5695,216,316810058,4636,491,5793,216,334380298,4810,491,5740,214,346942689,5037
Couriers and Messengers,492.0,6254.0,190.0,238707648.0,3181.0,492,8326,195,313515273,3138,492,11274,201,408363245,3019,492,14873,205,583181363,3268,492,16452,221,703365350,3563
Warehousing and Storage,493.0,11305.0,199.0,477306970.0,3518.0,493,11596,215,500937479,3600,493,11257,219,488760993,3618,493,11914,231,545704073,3817,493,13047,248,605801839,3869
Information,51.0,17806.0,1185.0,906186743.0,4241.0,51,17513,1250,939241140,4469,51,17055,1372,1047908113,5120,51,15674,1497,1183604801,6293,51,17171,1742,1364398139,6622
Motion Picture and Sound Recording Industries,512.0,5588.0,394.0,142073874.0,2119.0,512,5411,422,147424824,2271,512,5121,445,147352209,2398,512,3902,483,132694333,2834,512,4864,530,160935560,2758
Telecommunications,517.0,137.0,25.0,6829264.0,4169.0,517,311,23,9839643,2637,517,164,21,9358863,4748,517,114,19,9184875,6744,517,102,19,7077201,5782
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",518.0,5670.0,293.0,363162454.0,5337.0,518,5443,324,377798701,5784,518,5745,389,438890922,6366,518,5911,445,554033397,7811,518,6260,547,676320812,9003
"Web Search Portals, Libraries, Archives, and Other Information Services",519.0,6411.0,474.0,394121151.0,5123.0,519,6348,481,404177972,5306,519,6024,517,452306119,6257,519,5748,550,487692196,7071,519,5945,646,520064566,7290
Finance and Insurance,52.0,65085.0,5809.0,4537797204.0,5810.0,52,67524,5959,4953184609,6113,52,68974,6088,5304018991,6408,52,72143,6355,6270488309,7243,52,75201,6965,7124329325,7895
Monetary Authorities-Central Bank,521.0,70.0,4.0,6196459.0,7430.0,521,71,6,7042185,8236,521,73,7,7914435,9004,521,77,4,8353871,9012,521,84,4,9239533,9166
Credit Intermediation and Related Activities,522.0,37638.0,2223.0,2419286250.0,5357.0,522,39387,2255,2634159527,5573,522,40300,2297,2875793061,5947,522,41657,2419,3527103421,7056,522,43241,2701,3936714474,7587
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",523.0,7598.0,1142.0,831855747.0,9123.0,523,7760,1217,883321537,9486,523,7953,1270,931568519,9762,523,8275,1360,1042338259,10497,523,8881,1535,1313650322,12326
Insurance Carriers and Related Activities,524.0,19099.0,2359.0,1219314194.0,5320.0,524,19594,2386,1356896795,5771,524,19880,2417,1414582789,5930,524,21370,2459,1611463387,6284,524,22137,2594,1765909107,6648
"Funds, Trusts, and Other Financial Vehicles",525.0,682.0,82.0,61144554.0,7477.0,525,712,95,71764565,8405,525,769,96,74160187,8039,525,764,114,81229371,8860,525,858,131,98815889,9603
Real Estate and Rental and Leasing,53.0,19725.0,5275.0,958602509.0,4050.0,53,20773,5579,1048340262,4206,53,21819,5816,1139939170,4354,53,21943,6252,1227596461,4662,53,23003,6680,1404474895,5088
Real Estate,531.0,14503.0,4670.0,713074877.0,4097.0,531,15451,4958,790033215,4261,531,16313,5190,867520873,4432,531,16901,5619,961026074,4739,531,17868,6041,1110621386,5180
Rental and Leasing Services,532.0,4931.0,558.0,227437387.0,3844.0,532,5068,572,240554103,3956,532,5207,577,257712585,4125,532,4752,583,250222563,4388,532,4793,587,270841336,4709
Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),533.0,291.0,48.0,18090245.0,5185.0,533,255,50,17752944,5813,533,299,50,14705712,4099,533,290,51,16347824,4698,533,342,52,23012173,5611
Professiona.l Scientific & Technical Svc,54.0,96233.0,15226.0,6784456269.0,5875.0,54,105050,16025,7771185465,6165,54,109824,17077,8594343946,6521,54,113258,18122,9601505430,7065,54,119941,20472,10707876578,7440
"Professional, Scientific, and Technical Services",541.0,96233.0,15226.0,6784456269.0,5875.0,541,105050,16025,7771185465,6165,541,109824,17077,8594343946,6521,541,113258,18122,9601505430,7065,541,119941,20472,10707876578,7440
Management of Companies and Enterprises,55.0,20071.0,811.0,1701675311.0,7065.0,55,19848,885,1760907375,7393,55,20433,958,1825881546,7447,55,20928,1029,1926699410,7672,55,20697,1123,2033086101,8186
Management of Companies and Enterprises,55.0,20071.0,811.0,1701675311.0,7065.0,55,19848,885,1760907375,7393,55,20433,958,1825881546,7447,55,20928,1029,1926699410,7672,551,20697,1123,2033086101,8186
Management of Companies and Enterprises,55.0,20071.0,811.0,1701675311.0,7065.0,55,19848,885,1760907375,7393,55,20433,958,1825881546,7447,551,20928,1029,1926699410,7672,55,20697,1123,2033086101,8186
Management of Companies and Enterprises,55.0,20071.0,811.0,1701675311.0,7065.0,55,19848,885,1760907375,7393,55,20433,958,1825881546,7447,551,20928,1029,1926699410,7672,551,20697,1123,2033086101,8186
Management of Companies and Enterprises,55.0,20071.0,811.0,1701675311.0,7065.0,55,19848,885,1760907375,7393,551,20433,958,1825881546,7447,55,20928,1029,1926699410,7672,55,20697,1123,2033086101,8186
Management of Companies and Enterprises,55.0,20071.0,811.0,1701675311.0,7065.0,55,19848,885,1760907375,7393,551,20433,958,1825881546,7447,55,20928,1029,1926699410,7672,551,20697,1123,2033086101,8186
Management of Companies and Enterprises,55.0,20071.0,811.0,1701675311.0,7065.0,55,19848,885,1760907375,7393,551,20433,958,1825881546,7447,551,20928,1029,1926699410,7672,55,20697,1123,2033086101,8186
Management of Companies and Enterprises,55.0,20071.0,811.0,1701675311.0,7065.0,55,19848,885,1760907375,7393,551,20433,958,1825881546,7447,551,20928,1029,1926699410,7672,551,20697,1123,2033086101,8186
Management of Companies and Enterprises,55.0,20071.0,811.0,1701675311.0,7065.0,551,19848,885,1760907375,7393,55,20433,958,1825881546,7447,55,20928,1029,1926699410,7672,55,20697,1123,2033086101,8186
Management of Companies and Enterprises,55.0,20071.0,811.0,1701675311.0,7065.0,551,19848,885,1760907375,7393,55,20433,958,1825881546,7447,55,20928,1029,1926699410,7672,551,20697,1123,2033086101,8186
Management of Companies and Enterprises,55.0,20071.0,811.0,1701675311.0,7065.0,551,19848,885,1760907375,7393,55,20433,958,1825881546,7447,551,20928,1029,1926699410,7672,55,20697,1123,2033086101,8186
Management of Companies and Enterprises,55.0,20071.0,811.0,1701675311.0,7065.0,551,19848,885,1760907375,7393,55,20433,958,1825881546,7447,551,20928,1029,1926699410,7672,551,20697,1123,2033086101,8186
Management of Companies and Enterprises,55.0,20071.0,811.0,1701675311.0,7065.0,551,19848,885,1760907375,7393,551,20433,958,1825881546,7447,55,20928,1029,1926699410,7672,55,20697,1123,2033086101,8186
Management of Companies and Enterprises,55.0,20071.0,811.0,1701675311.0,7065.0,551,19848,885,1760907375,7393,551,20433,958,1825881546,7447,55,20928,1029,1926699410,7672,551,20697,1123,2033086101,8186
Management of Companies and Enterprises,55.0,20071.0,811.0,1701675311.0,7065.0,551,19848,885,1760907375,7393,551,20433,958,1825881546,7447,551,20928,1029,1926699410,7672,55,20697,1123,2033086101,8186
Management of Companies and Enterprises,55.0,20071.0,811.0,1701675311.0,7065.0,551,19848,885,1760907375,7393,551,20433,958,1825881546,7447,551,20928,1029,1926699410,7672,551,20697,1123,2033086101,8186
Management of Companies and Enterprises,551.0,20071.0,811.0,1701675311.0,7065.0,55,19848,885,1760907375,7393,55,20433,958,1825881546,7447,55,20928,1029,1926699410,7672,55,20697,1123,2033086101,8186
Management of Companies and Enterprises,551.0,20071.0,811.0,1701675311.0,7065.0,55,19848,885,1760907375,7393,55,20433,958,1825881546,7447,55,20928,1029,1926699410,7672,551,20697,1123,2033086101,8186
Management of Companies and Enterprises,551.0,20071.0,811.0,1701675311.0,7065.0,55,19848,885,1760907375,7393,55,20433,958,1825881546,7447,551,20928,1029,1926699410,7672,55,20697,1123,2033086101,8186
Management of Companies and Enterprises,551.0,20071.0,811.0,1701675311.0,7065.0,55,19848,885,1760907375,7393,55,20433,958,1825881546,7447,551,20928,1029,1926699410,7672,551,20697,1123,2033086101,8186
Management of Companies and Enterprises,551.0,20071.0,811.0,1701675311.0,7065.0,55,19848,885,1760907375,7393,551,20433,958,1825881546,7447,55,20928,1029,1926699410,7672,55,20697,1123,2033086101,8186
Management of Companies and Enterprises,551.0,20071.0,811.0,1701675311.0,7065.0,55,19848,885,1760907375,7393,551,20433,958,1825881546,7447,55,20928,1029,1926699410,7672,551,20697,1123,2033086101,8186
Management of Companies and Enterprises,551.0,20071.0,811.0,1701675311.0,7065.0,55,19848,885,1760907375,7393,551,20433,958,1825881546,7447,551,20928,1029,1926699410,7672,55,20697,1123,2033086101,8186
Management of Companies and Enterprises,551.0,20071.0,811.0,1701675311.0,7065.0,55,19848,885,1760907375,7393,551,20433,958,1825881546,7447,551,20928,1029,1926699410,7672,551,20697,1123,2033086101,8186
Management of Companies and Enterprises,551.0,20071.0,811.0,1701675311.0,7065.0,551,19848,885,1760907375,7393,55,20433,958,1825881546,7447,55,20928,1029,1926699410,7672,55,20697,1123,2033086101,8186
Management of Companies and Enterprises,551.0,20071.0,811.0,1701675311.0,7065.0,551,19848,885,1760907375,7393,55,20433,958,1825881546,7447,55,20928,1029,1926699410,7672,551,20697,1123,2033086101,8186
Management of Companies and Enterprises,551.0,20071.0,811.0,1701675311.0,7065.0,551,19848,885,1760907375,7393,55,20433,958,1825881546,7447,551,20928,1029,1926699410,7672,55,20697,1123,2033086101,8186
Management of Companies and Enterprises,551.0,20071.0,811.0,1701675311.0,7065.0,551,19848,885,1760907375,7393,55,20433,958,1825881546,7447,551,20928,1029,1926699410,7672,551,20697,1123,2033086101,8186
Management of Companies and Enterprises,551.0,20071.0,811.0,1701675311.0,7065.0,551,19848,885,1760907375,7393,551,20433,958,1825881546,7447,55,20928,1029,1926699410,7672,55,20697,1123,2033086101,8186
